Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Date,Time,Launch Site,Version Booster,Booster landing
77,,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",17 December 2019,00:10,CCAFS,F9 B5B1056.3,Success
78,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",7 January 2020,02:19:21,CCAFS,F9 B5,Success
79,,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",19 January 2020,15:30,KSC,F9 B5,"No attempt
"
80,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",29 January 2020,14:07,CCAFS,F9 B5,Success
81,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",17 February 2020,15:05,CCAFS,F9 B5,Failure
82,,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",7 March 2020,04:50,CCAFS,F9 B5,Success
83,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",18 March 2020,12:16,KSC,F9 B5,Failure
84,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",22 April 2020,19:30,KSC,F9 B5,Success
85,,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",30 May 2020,19:22,KSC,F9 B5,Success
86,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",4 June 2020,01:25,CCAFS,F9 B5,Success
87,,Starlink,"15,410 kg",LEO,SpaceX,"Success
",13 June 2020,09:21,CCAFS,F9 B5,Success
88,,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",30 June 2020,20:10:46,CCAFS,F9 B5,Success
89,,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",20 July 2020,21:30,CCAFS,F9 B5B1058.2,Success
90,,Starlink,"14,932 kg",LEO,SpaceX,"Success
",7 August 2020,05:12,KSC,F9 B5,Success
91,,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",18 August 2020,14:31,CCAFS,F9 B5B1049.6,Success
92,,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",30 August 2020,23:18,CCAFS,F9 B5,Success
93,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",3 September 2020,12:46:14,KSC,F9 B5B1060.2,Success
94,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",6 October 2020,11:29:34,KSC,F9 B5B1058.3,Success
95,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",18 October 2020,12:25:57,KSC,F9 B5B1051.6,Success
96,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",24 October 2020,15:31:34,CCAFS,F9 B5,Success
97,,GPS III,"4,311 kg",MEO,USSF,"Success
",5 November 2020,23:24:23,CCAFS,F9 B5,Success
98,,Crew-1,"~12,500 kg",LEO,NASA,"Success
",16 November 2020,00:27,KSC,F9 B5,Success
99,,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",21 November 2020,17:17:08,VAFB,F9 B5,Success
100,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",25 November 2020,02:13,CCAFS,F9 B5 ♺,Success
101,,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",6 December 2020,16:17:08,KSC,F9 B5 ♺,Success
102,,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",13 December 2020,17:30:00,CCSFS,F9 B5 ♺,Success
103,,NROL-108,C,LEO,NRO,"Success
",19 December 2020,14:00:00,KSC,F9 B5 ♺,Success
104,,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",8 January 2021,02:15,CCSFS,F9 B5,Success
105,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",20 January 2021,13:02,KSC,F9 B5B1051.8,Success
106,,Transporter-1,"~5,000 kg",SSO,,"Success
",24 January 2021,15:00,CCSFS,F9 B5B1058.5,Success
107,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",4 February 2021,06:19,CCSFS,F9 B5 ♺,Success
108,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",16 February 2021,03:59:37,CCSFS,F9 B5 ♺,Failure
109,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",4 March 2021,08:24,KSC,F9 B5 ♺,Success
110,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",11 March 2021,08:13:29,CCSFS,F9 B5 ♺,Success
111,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",14 March 2021,10:01,KSC,F9 B5 ♺,Success
112,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",24 March 2021,08:28,CCSFS,F9 B5B1060.6,Success
113,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",7 April 2021,16:34,CCSFS,F9 B5 ♺,Success
114,,Crew-2,"~13,000 kg",LEO,NASA,"Success
",23 April 2021,9:49,KSC,F9 B5B1061.2,Success
115,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",29 April 2021,03:44,CCSFS,F9 B5B1060.7,Success
116,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",4 May 2021,19:01,KSC,F9 B5B1049.9,Success
117,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",9 May 2021,06:42,CCSFS,F9 B5B1051.10,Success
118,,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",15 May 2021,22:56,KSC,F9 B5B1058.8,Success
119,,Starlink,"15,600 kg",LEO,SpaceX,"Success
",26 May 2021,18:59,CCSFS,F9 B5B1063.2,Success
120,,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",3 June 2021,17:29,KSC,F9 B5B1067.1,Success
121,,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",6 June 2021,04:26,CCSFS,F9 B5,Success
